IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost,QualityCode,ID
0,2009-05-05,OTHER,2005,4,PONTIAC,GRAND PRIX 3.8L V6 S,Bas,4D SEDAN,WHITE,AUTO,1,Alloy,70697,AMERICAN,LARGE,GM,5500,6920,6440,7974,5539,7058,6482,8123,NULL,NULL,21053,0,CA,7505,0,1974,FD,8700
0,2010-10-18,MANHEIM,2007,3,DODGE,CALIBER,SXT,4D WAGON SXT,BLUE,AUTO,2,Covers,76391,AMERICAN,MEDIUM,CHRYSLER,6679,7840,10665,11545,6687,7951,9997,11081,NULL,NULL,17675,0,NC,7500,0,920,EO,9200
0,2010-11-29,MANHEIM,2006,4,CHEVROLET,COBALT,LS,2D COUPE,RED,MANUAL,2,Covers,82294,AMERICAN,COMPACT,GM,4211,4940,7041,7957,5891,7056,9211,10355,NO,GREEN,17675,0,NC,3800,0,853,VI,9400
0,2010-07-27,MANHEIM,2006,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT FFV,BLUE,AUTO,2,Covers,65013,AMERICAN,MEDIUM,CHRYSLER,6198,7020,9450,10297,6473,7415,9857,10895,NULL,NULL,99750,0,MD,5600,0,1215,US,9700
1,2009-08-05,OTHER,2007,2,DODGE,CALIBER 2.0L I4 SFI,SXT,4D WAGON SXT,WHITE,AUTO,1,Alloy,77592,AMERICAN,MEDIUM,CHRYSLER,8312,9824,9477,11110,8573,10263,9759,11584,NULL,NULL,18880,1,SC,6500,0,920,FY,10300
0,2009-04-08,MANHEIM,2007,2,CHEVROLET,IMPALA 3.5L V6 SFI,LS,4D SEDAN LS,SILVER,AUTO,1,Alloy,59613,AMERICAN,LARGE,GM,7644,8892,8756,10103,7644,8892,8756,10103,NULL,NULL,20234,0,CA,7985,0,1500,OG,10600
0,2009-09-22,MANHEIM,2004,5,CHRYSLER,PACIFICA AWD 3.5L V6,NA,4D SPORT TOURER,GOLD,AUTO,1,Alloy,78404,AMERICAN,CROSSOVER,CHRYSLER,6957,8405,8014,9577,6911,8540,10504,11847,NULL,NULL,17212,0,TX,7195,0,1857,SD,11300
0,2009-01-20,MANHEIM,2005,4,CHRYSLER,TOWN & COUNTRY FWD V,Lim,MINIVAN 3.8L LIMITED,SILVER,AUTO,1,Alloy,87741,AMERICAN,VAN,CHRYSLER,9039,10626,10262,11976,9355,11402,10603,12814,NULL,NULL,22916,0,CO,6120,0,1763,IL,12600
0,2010-02-16,MANHEIM,2005,5,SATURN,ION,1,4D SEDAN LEVEL 1,WHITE,MANUAL,2,Covers,62517,AMERICAN,MEDIUM,GM,4146,5301,7641,9156,4089,5104,7240,8323,NULL,NULL,22916,0,CO,5160,0,728,EF,13000
0,2009-07-07,OTHER,2007,2,CHEVROLET,IMPALA V6 3.5L V6 SF,LT,4D SEDAN LT 3.5L,BEIGE,AUTO,1,Alloy,71227,AMERICAN,LARGE,GM,8214,9824,9371,11110,8791,10518,9994,11859,NULL,NULL,21053,0,CA,7635,0,1974,VJ,13700
0,2010-08-17,MANHEIM,2005,5,DODGE,NEON,SXT,4D SEDAN,BLUE,AUTO,1,Alloy,82097,AMERICAN,COMPACT,CHRYSLER,3381,4584,6522,7914,3135,4083,6289,8191,NULL,NULL,22916,0,CO,5460,0,723,YX,13900
0,2010-12-08,MANHEIM,2008,2,TOYOTA,YARIS,Bas,2D HATCHBACK,GREY,AUTO,1,Alloy,49096,TOP LINE ASIAN,COMPACT,OTHER,7188,8119,10272,11046,7738,8692,11262,11790,NO,GREEN,8655,0,TX,7185,0,482,BL,14600
0,2010-03-31,MANHEIM,2002,8,FORD,FOCUS,LX,4D SEDAN LX,BLUE,AUTO,2,Covers,71555,AMERICAN,COMPACT,FORD,2516,3386,5166,5831,2204,3171,4761,5837,NULL,NULL,23359,0,CA,4195,0,1455,AZ,16100
0,2010-09-08,MANHEIM,2007,3,FORD,FREESTYLE FWD V6,SEL,4D CUV 3.0L SEL,BEIGE,AUTO,1,Alloy,85221,AMERICAN,CROSSOVER,FORD,10194,12985,14323,16561,8439,10753,12615,15103,NULL,NULL,1151,0,CA,7995,1,1633,YP,16400
0,2009-02-19,OTHER,2006,3,DODGE,CHARGER 2.7L V6 MPI,Bas,4D SEDAN,BLACK,AUTO,2,Covers,69234,AMERICAN,SPECIALTY,CHRYSLER,9115,10447,10344,11783,9777,11040,11059,12423,NULL,NULL,8655,0,MS,10425,0,1215,YX,17700
0,2009-02-26,OTHER,2004,5,PONTIAC,GRAND AM V6 3.4L V6,SE,4D SEDAN SE1,SILVER,AUTO,2,Covers,76438,AMERICAN,MEDIUM,GM,4070,5299,4896,6223,3572,4730,4358,5608,NULL,NULL,3453,0,CO,4710,0,2208,AU,17800
0,2009-02-04,MANHEIM,2003,6,DODGE,1500 RAM PICKUP 2WD,Lar,QUAD CAB 4.7L,BLACK,AUTO,1,Alloy,74195,AMERICAN,LARGE TRUCK,CHRYSLER,5111,6745,6020,7785,NA,1,NA,NA,NULL,NULL,3453,0,CO,8105,0,1220,FD,19500
0,2009-08-26,MANHEIM,2004,5,NISSAN,TITAN PICKUP 2WD V8,LE,CREW CAB 5.6L LE,WHITE,AUTO,2,Covers,57934,TOP LINE ASIAN,LARGE TRUCK,OTHER,10024,11954,11326,13410,9876,12253,11166,13733,NULL,NULL,5546,0,FL,11500,0,1003,ST,19900
0,2010-06-30,MANHEIM,2007,3,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,BLUE,AUTO,2,Covers,67695,AMERICAN,MEDIUM,CHRYSLER,7353,8454,11670,12434,7540,8617,11353,12403,NULL,NULL,20928,0,FL,6980,0,1020,IE,21100
0,2010-09-15,MANHEIM,2007,3,PONTIAC,G6 4C,Bas,4D SEDAN SE1,BLUE,AUTO,2,Covers,78887,AMERICAN,MEDIUM,GM,7914,9325,11506,12748,7953,9417,11158,12475,NULL,NULL,20928,0,FL,8150,0,1038,CX,21200
0,2010-03-18,MANHEIM,2007,3,PONTIAC,G6 V6,Bas,4D SEDAN SE1,BLACK,AUTO,1,Alloy,76407,AMERICAN,MEDIUM,GM,8819,10213,12226,13863,9072,10429,12760,14086,NULL,NULL,1051,0,TX,7670,1,1272,BL,21700
0,2010-09-30,OTHER,2009,1,KIA,SPECTRA,EX,4D SEDAN EX,RED,AUTO,2,Covers,38290,OTHER ASIAN,MEDIUM,OTHER,7521,7947,10716,11323,7575,7946,10458,10970,NULL,NULL,99761,0,AZ,7200,0,462,BL,21800
0,2010-09-30,OTHER,2009,1,TOYOTA,YARIS,Bas,2D HATCHBACK,WHITE,AUTO,2,Covers,47773,TOP LINE ASIAN,COMPACT,OTHER,8251,8859,10577,11179,8245,8767,10428,11089,NULL,NULL,99761,0,AZ,7550,0,482,RH,21900
0,2010-08-10,OTHER,2008,2,DODGE,AVENGER V6,SE,4D SEDAN,BLUE,AUTO,2,Covers,77355,AMERICAN,MEDIUM,CHRYSLER,7202,8037,12312,12927,8122,8954,11702,12619,NULL,NULL,99750,0,TN,8700,0,1272,SB,23000
0,2009-02-17,MANHEIM,2006,3,SATURN,VUE 2WD 4C 2.2L I4 M,NA,4D CUV 2.2L,GREEN,AUTO,2,Covers,52679,AMERICAN,MEDIUM SUV,GM,6969,8382,8027,9553,7273,8787,8355,9990,NULL,NULL,22916,0,CO,7330,0,1251,VP,23200
0,2009-09-29,MANHEIM,2006,3,CHEVROLET,UPLANDER FWD V6 3.5L,LT,PASSENGER EXT 3.5L LT,BLUE,AUTO,1,Alloy,89988,AMERICAN,VAN,GM,8054,9810,9198,11095,7855,9471,8983,10729,NULL,NULL,3453,0,CO,6830,0,2282,YY,23600
0,2009-02-06,MANHEIM,2005,4,CHRYSLER,TOWN & COUNTRY FWD V,Tou,MINIVAN 3.8L,WHITE,AUTO,1,Alloy,87467,AMERICAN,VAN,CHRYSLER,7441,8940,8536,10155,7417,9169,8510,10403,NULL,NULL,17212,0,TX,6225,0,1763,NF,24300
1,2009-02-25,MANHEIM,2006,3,NISSAN,ALTIMA 2.5L I4 MPI /,Bas,4D SEDAN 2.5 S,BLACK,AUTO,2,Covers,72052,TOP LINE ASIAN,MEDIUM,OTHER,9079,10586,10305,11933,9357,10764,10606,12125,NULL,NULL,20833,1,TX,7785,0,686,DD,24400
0,2010-04-13,MANHEIM,2007,3,DODGE,CHARGER V6,Bas,4D SEDAN 2.7L,BLACK,AUTO,2,Covers,83506,AMERICAN,SPECIALTY,CHRYSLER,10555,11978,14296,15770,9935,11268,13589,15139,NULL,NULL,10430,0,IN,9980,1,1503,LJ,25200
0,2010-07-13,MANHEIM,2005,5,MERCURY,MARINER 2WD V6,Bas,4D SUV 3.0L,BLACK,AUTO,1,Alloy,87348,AMERICAN,SMALL SUV,FORD,5785,6928,9190,10621,7319,8790,11280,13135,NULL,NULL,8172,0,GA,8365,0,983,TE,26500
0,2010-05-27,MANHEIM,2007,3,SUZUKI,FORENZA,NA,4D SEDAN,MAROON,MANUAL,2,Covers,40296,OTHER ASIAN,MEDIUM,OTHER,5434,6474,8790,10472,4943,6190,8443,9335,NULL,NULL,22808,0,IL,5905,0,482,IE,26700
0,2009-12-29,MANHEIM,2005,4,HYUNDAI,ACCENT,GLS,2D HATCHBACK,SILVER,MANUAL,2,Covers,45855,OTHER ASIAN,COMPACT,OTHER,2916,3837,6123,7230,2496,3294,5033,6340,NULL,NULL,21053,0,AZ,4660,0,693,UF,27800
0,2010-09-09,MANHEIM,2004,6,FORD,ESCAPE 2WD V6,XLT,4D CUV 3.0L XLT,GREY,AUTO,1,Alloy,94948,AMERICAN,SMALL SUV,FORD,4823,6435,8597,11471,4730,5850,7770,8960,NULL,NULL,25100,0,TX,7240,0,1053,TV,28400
1,2010-09-09,MANHEIM,2006,4,FORD,FIVE HUNDRED,SEL,4D SEDAN SEL,GREY,AUTO,1,Alloy,76094,AMERICAN,LARGE,FORD,6642,8324,10691,12627,6103,7545,9821,11293,NULL,NULL,20928,1,FL,7685,0,1506,NL,29100
0,2010-10-28,MANHEIM,2008,2,CHEVROLET,MALIBU V6,LT,4D SEDAN LS CLASSIC,GOLD,AUTO,2,Covers,70316,AMERICAN,MEDIUM,GM,7252,8302,11571,12480,6725,8057,10343,11772,NULL,NULL,17675,0,SC,6995,0,1272,QV,29500
1,2010-01-13,MANHEIM,2006,4,JEEP,LIBERTY 2WD V6,Spo,4D SUV,BLACK,AUTO,1,Alloy,79824,AMERICAN,SMALL SUV,CHRYSLER,8486,9978,11556,13051,8473,10120,12341,13884,NULL,NULL,20740,1,FL,7500,0,686,GE,29600
0,2010-10-13,MANHEIM,2007,3,PONTIAC,G6 4C,Bas,4D SEDAN,GREEN,AUTO,2,Covers,54400,AMERICAN,MEDIUM,GM,7214,8311,10671,11762,6491,7771,9545,10739,NULL,NULL,16044,0,VA,7010,0,837,GE,30000
0,2010-06-08,MANHEIM,2009,1,FORD,FUSION 4C,SEL,4D SEDAN SEL,WHITE,AUTO,1,Alloy,81822,AMERICAN,MEDIUM,FORD,13003,15159,17150,18672,12540,15149,15915,18230,NULL,NULL,18111,0,PA,9605,0,853,BL,30600
0,2009-02-11,MANHEIM,2004,5,MERCURY,SABLE 3.0L V6 2V /EF,GS,4D SEDAN GS,BEIGE,AUTO,2,Covers,70119,AMERICAN,MEDIUM,FORD,3436,4643,4211,5514,9763,11762,11044,13203,NULL,NULL,20392,0,MO,5040,0,920,PJ,30800
0,2009-08-12,MANHEIM,2005,4,TOYOTA,CAMRY 4C 2.4L I4 SFI,Bas,4D SEDAN,BLUE,AUTO,2,Covers,77757,TOP LINE ASIAN,MEDIUM,OTHER,7968,9271,9105,10513,8474,9809,9652,11094,NULL,NULL,5546,0,FL,8145,0,569,US,32100
0,2010-01-12,MANHEIM,2006,4,SUZUKI,FORENZA,NA,4D SEDAN,GOLD,AUTO,2,Covers,59057,OTHER ASIAN,MEDIUM,OTHER,3726,4718,6910,7814,3950,4967,7263,8388,NULL,NULL,20207,0,TX,5260,0,505,NY,32500
0,2010-07-14,MANHEIM,2003,7,HONDA,ELEMENT 2WD,EX,4D SPORT UTILITY EX,BLUE,AUTO,1,Alloy,94866,TOP LINE ASIAN,SMALL SUV,OTHER,6799,7968,9712,10801,5330,7038,8058,9824,NULL,NULL,19638,0,FL,6650,0,1065,FY,32700
0,2010-08-04,MANHEIM,2006,4,FORD,FIVE HUNDRED,SE,4D SEDAN SE,WHITE,AUTO,1,Alloy,82497,AMERICAN,LARGE,FORD,6090,7785,10087,11932,5142,6577,9578,10679,NULL,NULL,8172,0,FL,7650,0,1633,DZ,32900
0,2009-06-26,MANHEIM,2004,5,GMC,ENVOY 2WD 6C 4.2L I6,SLE,4D UTILITY 4.2L SLE,WHITE,AUTO,1,Alloy,79690,AMERICAN,MEDIUM SUV,GM,6198,7278,7194,8360,7470,8972,8568,10190,NULL,NULL,20928,0,FL,7450,0,1155,ES,33000
0,2010-11-02,MANHEIM,2005,5,HONDA,ELEMENT 2WD,EX,4D SPORT UTILITY EX,SILVER,MANUAL,1,Alloy,89498,TOP LINE ASIAN,SMALL SUV,OTHER,8384,10070,11561,13009,7157,7908,10859,11634,NULL,NULL,20928,0,FL,8050,0,723,DZ,33100
0,2009-02-10,OTHER,2006,3,FORD,MUSTANG V6 Unspecifi,Bas,2D COUPE,BLUE,AUTO,1,Alloy,89035,AMERICAN,SPORTS,FORD,9573,10792,10839,12155,10327,11730,11653,13168,NULL,NULL,19662,0,LA,9200,0,853,CX,33300
0,2010-02-25,MANHEIM,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,REG CAB 3.7L,WHITE,AUTO,1,Alloy,86688,AMERICAN,LARGE TRUCK,CHRYSLER,4621,5690,8136,9620,4703,6174,8149,10698,NULL,NULL,19619,0,IN,6195,0,594,QV,33400
1,2010-04-28,MANHEIM,2008,2,DODGE,AVENGER V6,SXT,4D SEDAN SXT,SILVER,AUTO,1,Alloy,50808,AMERICAN,MEDIUM,CHRYSLER,10714,12343,14196,15766,10667,12410,14793,16485,NULL,NULL,18822,1,TX,8635,0,1003,PJ,35400
0,2010-05-12,MANHEIM,2008,2,SUZUKI,FORENZA,NA,4D SEDAN,SILVER,AUTO,2,Covers,61423,OTHER ASIAN,MEDIUM,OTHER,6590,7160,9768,10613,6729,7583,9664,10891,NULL,NULL,22808,0,TX,6865,0,533,OV,35500
0,2009-05-27,MANHEIM,2006,3,CHEVROLET,MALIBU V6 3.5L V6 SF,LT,4D SEDAN LT,WHITE,AUTO,1,Alloy,72169,AMERICAN,MEDIUM,GM,6935,8681,7990,9875,6767,8421,7808,9595,NULL,NULL,22916,0,CO,6155,0,1272,FD,35600
0,2010-02-18,MANHEIM,2006,4,DODGE,CARAVAN GRAND FWD V6,Bas,MINIVAN 3.3L,WHITE,AUTO,2,Covers,87668,AMERICAN,VAN,CHRYSLER,6221,7820,10544,12031,6461,8365,9210,11646,NULL,NULL,10430,0,MS,6890,1,1763,YX,36200
0,2010-12-15,MANHEIM,2006,4,FORD,TAURUS,SE,4D SEDAN SE,GREEN,AUTO,1,Alloy,112056,AMERICAN,MEDIUM,FORD,3981,5278,7553,8518,4377,5920,7780,9372,NULL,NULL,20740,0,NJ,4460,0,1216,ST,37100
0,2009-10-21,OTHER,2006,3,CHEVROLET,IMPALA 3.5L V6 SFI,LT,4D SEDAN LT 3.5L,BLUE,AUTO,1,Alloy,89744,AMERICAN,LARGE,GM,7099,8527,8167,9709,7543,8605,10980,12222,NULL,NULL,22808,0,OK,7785,0,2152,UU,37400
0,2010-07-14,OTHER,2008,2,CHRYSLER,300,LX,4D SEDAN,SILVER,AUTO,2,Covers,78000,AMERICAN,SPECIALTY,CHRYSLER,11298,12656,15476,16816,11710,13267,15910,17175,NULL,NULL,20833,0,OK,10730,0,1389,TV,37500
0,2010-09-14,MANHEIM,2006,4,SATURN,VUE 2WD 4C,NA,4D CUV 2.2L,RED,MANUAL,2,Covers,36664,AMERICAN,MEDIUM SUV,GM,6098,7711,10062,11475,5442,6872,9936,11133,NULL,NULL,20234,0,OR,7795,0,1001,GE,37800
0,2010-03-12,OTHER,2008,2,DODGE,CALIBER,SE,4D WAGON,SILVER,AUTO,2,Covers,47341,AMERICAN,MEDIUM,CHRYSLER,8054,8628,11156,11754,7497,8102,10721,11350,NULL,NULL,99761,0,OK,7450,0,693,YX,38100
0,2010-03-12,OTHER,2008,2,DODGE,CALIBER,SE,4D WAGON,SILVER,AUTO,2,Covers,46874,AMERICAN,MEDIUM,CHRYSLER,8054,8628,11156,11754,7678,8543,11509,12387,NULL,NULL,99761,0,OK,7450,0,693,EO,38200
0,2009-08-25,OTHER,2005,4,DODGE,STRATUS 4C 2.4L I4 M,SXT,4D SEDAN,WHITE,AUTO,2,Covers,86315,AMERICAN,MEDIUM,CHRYSLER,4351,5401,5199,6333,3279,4407,6369,7577,NULL,NULL,18881,0,SC,5150,0,1243,SB,38800
0,2010-06-15,MANHEIM,2007,3,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,2,Covers,67975,AMERICAN,MEDIUM,CHRYSLER,6078,7071,9441,10299,5579,6690,9137,10126,NULL,NULL,23359,0,CA,5955,0,1215,VI,39000
0,2010-05-19,ADESA,2003,7,FORD,FOCUS,ZX3,2D COUPE ZX3,SILVER,MANUAL,3,Special,96781,AMERICAN,COMPACT,FORD,3072,4050,5759,7249,2983,3992,6223,7277,NULL,NULL,18822,0,TX,4170,0,1641,VP,40000
0,2010-10-04,ADESA,2008,2,FORD,MUSTANG V6,Bas,2D COUPE,GREY,MANUAL,1,Alloy,58053,AMERICAN,SPORTS,FORD,11069,12843,15872,17135,11431,12920,15402,16823,NULL,NULL,1081,0,TX,9725,1,671,IL,40100
0,2009-08-18,ADESA,2005,4,CHEVROLET,1500 SILVERADO PICKU,Bas,REG CAB 4.3L,WHITE,AUTO,2,Covers,83271,AMERICAN,LARGE TRUCK,GM,6040,8243,7023,9402,5764,7575,6725,8681,NULL,NULL,20833,0,TX,5595,0,1373,NL,41200
1,2010-11-02,ADESA,2005,5,CHRYSLER,PT CRUISER,Bas,2D CONVERTIBLE,BLACK,MANUAL,2,Covers,56990,AMERICAN,MEDIUM,CHRYSLER,4609,5702,8334,9689,4694,5893,8160,9374,NO,GREEN,18822,1,TX,5215,0,1086,RT,41600
1,2009-09-18,ADESA,2005,4,FORD,TAURUS 3.0L V6 EFI,SE,4D SEDAN SE FFV,GREY,AUTO,2,Covers,76151,AMERICAN,MEDIUM,FORD,4085,5538,4912,6481,3955,5266,4771,6187,NULL,NULL,16926,1,CA,5040,0,920,ES,43000
0,2009-04-22,ADESA,2004,5,CHEVROLET,TRAILBLAZER 4WD 6C 4,Nor,4D SUV 4.2L LS,SILVER,AUTO,1,Alloy,77879,AMERICAN,MEDIUM SUV,GM,7045,8519,8109,9701,7520,8987,8622,10206,NULL,NULL,21053,0,AZ,8695,0,1974,MH,43400
0,2009-04-22,ADESA,2005,4,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,WHITE,AUTO,2,Covers,79261,AMERICAN,LARGE,GM,4573,5967,5439,6944,4573,5967,5439,6944,NULL,NULL,21053,0,AZ,5835,0,1974,VJ,43500
0,2009-07-08,ADESA,2003,6,FORD,EXPEDITION 2WD V8 5.,Edd,4D SUV 5.4L EDDIE BAUER,WHITE,AUTO,3,Special,83822,AMERICAN,LARGE SUV,FORD,8142,9524,9293,10786,7246,8499,11030,12124,NULL,NULL,21053,0,AZ,10570,0,1413,EF,44300
0,2009-11-11,ADESA,2006,3,SATURN,VUE 2WD 4C,NA,4D CUV 2.2L,BLUE,AUTO,1,Alloy,61528,AMERICAN,MEDIUM SUV,GM,6863,8380,7912,9550,6454,7999,10681,12419,NULL,NULL,835,0,AZ,8030,0,1411,NG,44700
0,2009-07-07,MANHEIM,2003,6,FORD,F150 PICKUP 2WD V8 5,XL,EXT CAB 5.4L LARIAT,WHITE,AUTO,1,Alloy,70334,AMERICAN,LARGE TRUCK,FORD,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NULL,18822,0,TX,8655,0,1103,MH,45200
0,2010-05-25,MANHEIM,2007,3,FORD,FOCUS,ZX4,4D SEDAN S,BLACK,AUTO,1,Alloy,69155,AMERICAN,COMPACT,FORD,5801,7454,9464,10515,5921,7334,9495,10634,NULL,NULL,25100,0,TX,5615,0,1020,VI,45600
1,2010-05-27,MANHEIM,2006,4,FORD,FREESTYLE FWD V6,SE,4D CUV 3.0L SE,BLACK,AUTO,1,Alloy,74674,AMERICAN,CROSSOVER,FORD,8011,9437,12101,13491,7762,9399,11845,13762,NULL,NULL,25100,1,TX,7930,0,1506,EF,45700
0,2010-06-10,MANHEIM,2006,4,DODGE,DURANGO 2WD V8,Adv,4D SUV 4.7L SLT,SILVER,AUTO,1,Alloy,71470,AMERICAN,MEDIUM SUV,CHRYSLER,9749,11619,14100,16263,9934,11429,13979,15397,NULL,NULL,25100,0,TX,9745,0,1389,BY,45800
0,2009-02-12,MANHEIM,2005,4,DODGE,STRATUS 4C 2.4L I4 M,SXT,4D SEDAN,SILVER,AUTO,1,Alloy,50487,AMERICAN,MEDIUM,CHRYSLER,3854,4626,4662,5496,4268,5441,5109,6376,NULL,NULL,21973,0,FL,5430,0,920,LJ,46100
